"shot_id","shot_made_flag"
1,1.12588768388378e-05
8,1.12588768388378e-05
17,1.12588768388378e-05
20,1.12588768388378e-05
33,1.12588768388378e-05
34,1.12588768388378e-05
35,1.12588768388378e-05
36,1.12588768388378e-05
37,1.12588768388378e-05
38,1.12588768388378e-05
45,1.12588768388378e-05
50,1.12588768388378e-05
55,1.12588768388378e-05
60,1.12588768388378e-05
66,1.12588768388378e-05
67,1.12588768388378e-05
71,1.12588768388378e-05
80,1.12588768388378e-05
85,1.12588768388378e-05
86,1.12588768388378e-05
95,1.12588768388378e-05
104,1.12588768388378e-05
113,1.12588768388378e-05
123,1.12588768388378e-05
126,1.12588768388378e-05
133,1.12588768388378e-05
141,1.12588768388378e-05
144,1.12588768388378e-05
150,1.12588768388378e-05
152,1.12588768388378e-05
153,1.12588768388378e-05
156,1.12588768388378e-05
159,1.12588768388378e-05
165,1.12588768388378e-05
172,1.12588768388378e-05
182,1.12588768388378e-05
192,1.12588768388378e-05
193,1.12588768388378e-05
196,1.12588768388378e-05
202,1.12588768388378e-05
210,1.12588768388378e-05
211,1.12588768388378e-05
228,1.12588768388378e-05
257,1.12588768388378e-05
260,1.12588768388378e-05
264,1.12588768388378e-05
267,1.12588768388378e-05
279,1.12588768388378e-05
282,1.12588768388378e-05
293,1.12588768388378e-05
299,1.12588768388378e-05
300,1.12588768388378e-05
301,1.12588768388378e-05
317,1.12588768388378e-05
327,1.12588768388378e-05
328,1.12588768388378e-05
335,1.12588768388378e-05
346,1.12588768388378e-05
348,1.12588768388378e-05
365,1.12588768388378e-05
390,1.12588768388378e-05
391,1.12588768388378e-05
392,1.12588768388378e-05
397,1.12588768388378e-05
418,1.12588768388378e-05
428,1.12588768388378e-05
434,1.12588768388378e-05
439,1.12588768388378e-05
440,1.12588768388378e-05
456,1.12588768388378e-05
459,1.12588768388378e-05
472,1.12588768388378e-05
480,1.12588768388378e-05
491,1.12588768388378e-05
497,1.12588768388378e-05
509,1.12588768388378e-05
511,1.12588768388378e-05
523,1.12588768388378e-05
533,1.12588768388378e-05
544,1.12588768388378e-05
546,1.12588768388378e-05
555,1.12588768388378e-05
558,1.12588768388378e-05
560,1.12588768388378e-05
573,1.12588768388378e-05
591,1.12588768388378e-05
596,1.12588768388378e-05
597,1.12588768388378e-05
601,1.12588768388378e-05
605,1.12588768388378e-05
617,1.12588768388378e-05
628,1.12588768388378e-05
634,1.12588768388378e-05
646,1.12588768388378e-05
649,1.12588768388378e-05
651,1.12588768388378e-05
654,1.12588768388378e-05
656,1.12588768388378e-05
657,1.12588768388378e-05
669,1.12588768388378e-05
670,1.12588768388378e-05
